Time,aurn_co,SiteNumber,SiteName,Longitude,Latitude
2018-08-28,0.13,99,London N. Kensington,-0.213492,51.52105
2018-08-29,0.14,99,London N. Kensington,-0.213492,51.52105
2018-08-30,0.13,99,London N. Kensington,-0.213492,51.52105
2018-08-31,0.14,99,London N. Kensington,-0.213492,51.52105
2018-09-01,0.16,99,London N. Kensington,-0.213492,51.52105
2018-09-02,0.2,99,London N. Kensington,-0.213492,51.52105
2018-09-03,0.2,99,London N. Kensington,-0.213492,51.52105
2018-09-04,0.11,99,London N. Kensington,-0.213492,51.52105
2018-09-05,0.11,99,London N. Kensington,-0.213492,51.52105
2018-09-06,0.14,99,London N. Kensington,-0.213492,51.52105
2018-09-07,0.13,99,London N. Kensington,-0.213492,51.52105
2018-09-08,0.11,99,London N. Kensington,-0.213492,51.52105
2018-09-09,0.097,99,London N. Kensington,-0.213492,51.52105
2018-09-10,0.11,99,London N. Kensington,-0.213492,51.52105
2018-09-11,0.11,99,London N. Kensington,-0.213492,51.52105
2018-09-12,0.18,99,London N. Kensington,-0.213492,51.52105
2018-09-13,0.3,99,London N. Kensington,-0.213492,51.52105
2018-09-14,0.13,99,London N. Kensington,-0.213492,51.52105
2018-09-15,0.12,99,London N. Kensington,-0.213492,51.52105
2018-09-16,0.096,99,London N. Kensington,-0.213492,51.52105
2018-09-17,,99,London N. Kensington,-0.213492,51.52105
2018-09-18,,99,London N. Kensington,-0.213492,51.52105
2018-09-19,,99,London N. Kensington,-0.213492,51.52105
2018-09-20,0.11,99,London N. Kensington,-0.213492,51.52105
2018-09-21,0.11,99,London N. Kensington,-0.213492,51.52105
2018-09-22,0.14,99,London N. Kensington,-0.213492,51.52105
2018-09-23,0.15,99,London N. Kensington,-0.213492,51.52105
2018-09-24,0.26,99,London N. Kensington,-0.213492,51.52105
2018-09-25,0.39,99,London N. Kensington,-0.213492,51.52105
2018-09-26,0.21,99,London N. Kensington,-0.213492,51.52105
2018-09-27,0.18,99,London N. Kensington,-0.213492,51.52105
2018-09-28,0.14,99,London N. Kensington,-0.213492,51.52105
2018-09-29,0.29,99,London N. Kensington,-0.213492,51.52105
2018-09-30,0.18,99,London N. Kensington,-0.213492,51.52105
2018-10-01,0.13,99,London N. Kensington,-0.213492,51.52105
2018-10-02,0.14,99,London N. Kensington,-0.213492,51.52105
2018-10-03,0.24,99,London N. Kensington,-0.213492,51.52105
2018-10-04,0.13,99,London N. Kensington,-0.213492,51.52105
2018-10-05,0.19,99,London N. Kensington,-0.213492,51.52105
2018-10-06,0.16,99,London N. Kensington,-0.213492,51.52105
2018-10-07,0.17,99,London N. Kensington,-0.213492,51.52105
2018-10-08,0.14,99,London N. Kensington,-0.213492,51.52105
2018-10-09,0.21,99,London N. Kensington,-0.213492,51.52105
2018-10-10,0.19,99,London N. Kensington,-0.213492,51.52105
2018-10-11,0.11,99,London N. Kensington,-0.213492,51.52105
2018-10-12,0.096,99,London N. Kensington,-0.213492,51.52105
2018-10-13,0.11,99,London N. Kensington,-0.213492,51.52105
2018-10-14,0.11,99,London N. Kensington,-0.213492,51.52105
2018-10-15,0.17,99,London N. Kensington,-0.213492,51.52105
2018-10-16,0.13,99,London N. Kensington,-0.213492,51.52105
2018-10-17,0.17,99,London N. Kensington,-0.213492,51.52105
2018-10-18,0.13,99,London N. Kensington,-0.213492,51.52105
2018-10-19,0.34,99,London N. Kensington,-0.213492,51.52105
2018-10-20,0.43,99,London N. Kensington,-0.213492,51.52105
2018-10-21,0.26,99,London N. Kensington,-0.213492,51.52105
2018-10-22,0.17,99,London N. Kensington,-0.213492,51.52105
2018-10-23,0.16,99,London N. Kensington,-0.213492,51.52105
2018-10-24,0.16,99,London N. Kensington,-0.213492,51.52105
2018-10-25,0.12,99,London N. Kensington,-0.213492,51.52105
2018-10-26,0.12,99,London N. Kensington,-0.213492,51.52105
2018-10-27,0.097,99,London N. Kensington,-0.213492,51.52105
2018-10-28,0.12,99,London N. Kensington,-0.213492,51.52105
2018-10-29,0.11,99,London N. Kensington,-0.213492,51.52105
2018-10-30,0.16,99,London N. Kensington,-0.213492,51.52105
2018-10-31,0.25,99,London N. Kensington,-0.213492,51.52105
2018-11-01,0.2,99,London N. Kensington,-0.213492,51.52105
2018-11-02,0.3,99,London N. Kensington,-0.213492,51.52105
2018-11-03,0.17,99,London N. Kensington,-0.213492,51.52105
2018-11-04,0.14,99,London N. Kensington,-0.213492,51.52105
2018-11-05,0.3,99,London N. Kensington,-0.213492,51.52105
2018-11-06,0.24,99,London N. Kensington,-0.213492,51.52105
2018-11-07,0.13,99,London N. Kensington,-0.213492,51.52105
2018-11-08,0.13,99,London N. Kensington,-0.213492,51.52105
